nombre,pos,num,alt,nac,edad,lic,tm,codigo,foto
Jonas  Zohore,P,33,210,Dinamarca,32,EUR,BAXI Manresa,30002814,https://static.acb.com/media/PRO/00/00/50/53/36/0000505336_5-6_03.jpg
Dani Pérez,B,55,184,España,33,JFL,BAXI Manresa,20203826,https://static.acb.com/media/PRO/00/00/50/52/72/0000505272_5-6_03.jpg
Brancou Badio,B,0,191,Senegal,24,COT,BAXI Manresa,30000107,https://static.acb.com/media/PRO/00/00/50/52/21/0000505221_5-6_03.jpg
Devin Robinson,AP,00,203,EE.UU.,28,EXT,BAXI Manresa,30002444,https://static.acb.com/media/PRO/00/00/50/52/85/0000505285_5-6_03.jpg
Jovan Kljajic,E,3,195,Montenegro,22,JFL,Dreamland Gran Canaria,20212462,https://static.acb.com/media/PRO/00/00/50/45/02/0000504502_5-6_03.jpg
AJ Slaughter,E,4,191,Polonia,36,EUR,Dreamland Gran Canaria,30000031,https://static.acb.com/media/PRO/00/00/50/43/64/0000504364_5-6_03.jpg
Ferran Bassas,B,5,181,España,31,JFL,Dreamland Gran Canaria,20200243,https://static.acb.com/media/PRO/00/00/50/44/64/0000504464_5-6_03.jpg
Andrew Albicy,B,6,178,Francia,33,EUR,Dreamland Gran Canaria,20212190,https://static.acb.com/media/PRO/00/00/50/43/84/0000504384_5-6_03.jpg
Roko Prkacin,AP,8,206,Croacia,20,EUR | INF,Dreamland Gran Canaria,30001980,https://static.acb.com/media/PRO/00/00/50/45/83/0000504583_5-6_03.jpg
Nico Brussino,A,9,205,Italia,30,EUR,Dreamland Gran Canaria,20212648,https://static.acb.com/media/PRO/00/00/50/45/43/0000504543_5-6_03.jpg
Miquel Salvó,A,10,205,España,28,JFL,Dreamland Gran Canaria,20212441,https://static.acb.com/media/PRO/00/00/50/45/23/0000504523_5-6_03.jpg
Pierre Pelos,AP,13,205,Francia,31,EUR,Dreamland Gran Canaria,30002718,https://static.acb.com/media/PRO/00/00/50/45/66/0000504566_5-6_03.jpg
John Shurna,P,14,204,Lituania,33,EUR,Dreamland Gran Canaria,20210670,https://static.acb.com/media/PRO/00/00/50/44/85/0000504485_5-6_03.jpg
Sylven Landesberg,A,15,198,Austria,33,EUR,Dreamland Gran Canaria,20212438,https://static.acb.com/media/PRO/00/00/50/46/19/0000504619_5-6_03.jpg
Rubén López De La Torre,AP,16,201,España,21,JFL,Dreamland Gran Canaria,30000132,https://static.acb.com/media/PRO/00/00/50/46/00/0000504600_5-6_03.jpg
Dylan Bordon,B,21,191,Italia,18,EUR | INF,Dreamland Gran Canaria,30002042,https://static.acb.com/media/PRO/00/00/50/44/20/0000504420_5-6_03.jpg
Ethan Happ,P,22,208,EE.UU.,27,EXT,Dreamland Gran Canaria,30001954,https://static.acb.com/media/PRO/00/00/50/44/47/0000504447_5-6_03.jpg
Ben Lammers,P,44,208,EE.UU.,27,EXT,Dreamland Gran Canaria,30000062,https://static.acb.com/media/PRO/00/00/50/44/02/0000504402_5-6_03.jpg
Oscar Da Silva,AP,1,206,Alemania,25,EUR,Barça,30001950,https://static.acb.com/media/PRO/00/00/50/61/83/0000506183_5-6_03.jpg
Oriol Paulí,A,3,201,España,29,JFL,Barça,20209098,https://static.acb.com/media/PRO/00/00/50/61/61/0000506161_5-6_03.jpg
Jan  Vesely,P,6,210,Chequia,33,EUR,Barça,30001949,https://static.acb.com/media/PRO/00/00/50/60/56/0000506056_5-6_03.jpg
Darío Brizuela,E,8,188,España,28,JFL,Barça,20209919,https://static.acb.com/media/PRO/00/00/50/59/64/0000505964_5-6_03.jpg
Nikola Kalinic,A,10,202,Serbia,31,EUR,Barça,30000314,https://static.acb.com/media/PRO/00/00/50/61/41/0000506141_5-6_03.jpg
Tomas Satoransky,B,13,201,Chequia,31,EUR,Barça,20202163,https://static.acb.com/media/PRO/00/00/50/62/11/0000506211_5-6_03.jpg
Willy Hernangómez,P,14,210,España,29,JFL,Barça,20209187,https://static.acb.com/media/PRO/00/00/50/62/33/0000506233_5-6_03.jpg
Nico Laprovittola,B,20,190,Italia,33,EUR,Barça,20211947,https://static.acb.com/media/PRO/00/00/50/61/19/0000506119_5-6_03.jpg
Álex Abrines,E,21,198,España,30,JFL,Barça,20209223,https://static.acb.com/media/PRO/00/00/50/59/23/0000505923_5-6_03.jpg
Jabari Parker,AP,22,203,EE.UU.,28,EXT,Barça,30002721,https://static.acb.com/media/PRO/00/00/50/60/10/0000506010_5-6_03.jpg
James Nnaji,P,23,212,Nigeria,19,JFL | INF,Barça,30001353,https://static.acb.com/media/PRO/00/00/50/60/32/0000506032_5-6_03.jpg
Michael Caicedo,E,24,199,España,20,JFL | INF,Barça,30000925,https://static.acb.com/media/PRO/00/00/50/61/02/0000506102_5-6_03.jpg
Rokas Jokubaitis,B,31,193,Lituania,22,EUR,Barça,30001217,https://static.acb.com/media/PRO/00/00/50/89/12/0000508912_5-6_03.jpg
Joel Parra,A,44,202,España,23,JFL,Barça,20212265,https://static.acb.com/media/PRO/00/00/50/60/79/0000506079_5-6_03.jpg
Cristiano Felicio,P,1,211,Brasil,31,EXT,Coviran Granada,30002033,https://static.acb.com/media/PRO/00/00/51/00/15/0000510015_5-6_03.jpg
Kwan Cheatham,AP,5,206,EE.UU.,28,EUR,Coviran Granada,30000927,https://static.acb.com/media/PRO/00/00/50/34/68/0000503468_5-6_03.jpg
Artur  Konontsuk,AP,9,202,Estonia,23,EUR,Coviran Granada,30002714,https://static.acb.com/media/PRO/00/00/50/33/15/0000503315_5-6_03.jpg
Germán Martínez,E,10,189,España,25,JFL,Coviran Granada,30002727,https://static.acb.com/media/PRO/00/00/50/34/21/0000503421_5-6_03.jpg
Evaldas  Kairys,P,12,207,Lituania,32,EUR,Coviran Granada,30002715,https://static.acb.com/media/PRO/00/00/50/34/01/0000503401_5-6_03.jpg
Christian Díaz,B,14,184,España,31,JFL,Coviran Granada,20208873,https://static.acb.com/media/PRO/00/00/50/33/39/0000503339_5-6_03.jpg
Lluis Costa,B,15,187,España,30,JFL,Coviran Granada,20209470,https://static.acb.com/media/PRO/00/00/50/34/89/0000503489_5-6_03.jpg
Pere Tomàs,A,19,200,España,34,JFL,Coviran Granada,20203675,https://static.acb.com/media/PRO/00/00/50/35/19/0000503519_5-6_03.jpg
David Iriarte,AP,21,205,España,28,JFL,Coviran Granada,20210716,https://static.acb.com/media/PRO/00/00/50/33/65/0000503365_5-6_03.jpg
Rokas  Gustys,P,27,206,Lituania,29,EUR,Coviran Granada,30002822,https://static.acb.com/media/PRO/00/00/51/14/29/0000511429_5-6_03.jpg
Joe Thomasson,E,32,193,EE.UU.,30,EXT,Coviran Granada,30001127,https://static.acb.com/media/PRO/00/00/50/34/41/0000503441_5-6_03.jpg
David Kramer,A,44,196,Alemania,26,EUR,Coviran Granada,30002716,https://static.acb.com/media/PRO/00/00/51/00/42/0000510042_5-6_03.jpg
Yiftach Ziv,B,99,191,Israel,28,EUR,Coviran Granada,30002717,https://static.acb.com/media/PRO/00/00/50/35/48/0000503548_5-6_03.jpg
