"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"Z. Sisko",30002701,29537,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/88/40/0000508840_03.jpg",1693573200
"S. Momirov",30001889,29541,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/88/21/0000508821_03.jpg",1693573200
"T. Sedekerskis",20210830,29588,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/03/40/0000510340_03.jpg",1693573200
"M. Rudan",30002675,29531,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/87/28/0000508728_03.jpg",1693573200
"M. Sajus",30000272,29540,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/86/93/0000508693_03.jpg",1693573200
"M. Costello",30000032,29113,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/77/94/0000507794_03.jpg",1693573200
"A. Polite",30002698,29502,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/86/13/0000508613_03.jpg",1693573200
"Miller-McIntyre",30001133,29117,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/76/37/0000507637_03.jpg",1693573200
"M. Kotsar",30001976,29111,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/77/43/0000507743_03.jpg",1693573200
"M. Howard",30001957,29107,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/77/69/0000507769_03.jpg",1693573200
"S. Quintela",30000013,29535,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/87/98/0000508798_03.jpg",1693573200
"C. Moneke",30001128,29103,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/76/16/0000507616_03.jpg",1693573200
"N.Rogkavopoulos",30002650,29119,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/78/28/0000507828_03.jpg",1693573200
"J. Fernández",30000138,29548,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/86/71/0000508671_03.jpg",1693573200
"M. Diouf",30002700,29550,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/87/60/0000508760_03.jpg",1693573200
"N. Mannion",30002653,29105,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/78/05/0000507805_03.jpg",1693573200
"S. García",20210685,29545,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/87/82/0000508782_03.jpg",1693573200
"M. Jogela",30002699,29543,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/87/12/0000508712_03.jpg",1693573200
"V. Marinkovic",30000045,29586,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/03/68/0000510368_03.jpg",1693573200
"K. Diop",20212905,29109,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/77/20/0000507720_03.jpg",1693573200
"D. Pérez",20203826,28903,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/52/72/0000505272_03.jpg",1693573200
"E. Happ",30001954,28832,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/44/47/0000504447_03.jpg",1693573200
"J. Shurna",20210670,28838,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/44/85/0000504485_03.jpg",1693573200
"S. Landesberg",20212438,28844,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/46/19/0000504619_03.jpg",1693573200
"N. Brussino",20212648,28846,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/45/43/0000504543_03.jpg",1693573200
"A. Albicy",20212190,28824,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/43/84/0000504384_03.jpg",1693573200
"T. Williams",30002739,28921,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/54/17/0000505417_03.jpg",1693573200
"G. Jou",20210815,28911,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/53/09/0000505309_03.jpg",1693573200
"M. Geben",30002443,28909,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/53/81/0000505381_03.jpg",1693573200
"D. Robinson",30002444,28907,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/52/85/0000505285_03.jpg",1693573200
"B. Badio",30000107,28901,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/52/21/0000505221_03.jpg",1693573200
"M. Sagnia",30000645,28917,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/53/96/0000505396_03.jpg",1693573200
"B. Taylor",30002740,28919,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/52/38/0000505238_03.jpg",1693573200
"M. Steinbergs",30000133,28913,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/53/68/0000505368_03.jpg",1693573200
"B. Lammers",30000062,28828,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/44/02/0000504402_03.jpg",1693573200
"F. Bassas",20200243,28836,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/44/64/0000504464_03.jpg",1693573200
"P. Pelos",30002718,28830,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/45/66/0000504566_03.jpg",1693573200
"J. Vaulet",30000025,28915,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/53/34/0000505334_03.jpg",1693573200
"AJ Slaughter",30000031,28826,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/43/64/0000504364_03.jpg",1693573200
"M. Salvó",20212441,28834,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/45/23/0000504523_03.jpg",1693573200
"D. García",30000015,28905,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/52/55/0000505255_03.jpg",1693573200
"E. Valtonen",30001214,29766,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/13/81/0000511381_03.jpg",1695042000
"R. Prkacin",30001980,28840,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/45/83/0000504583_03.jpg",1693573200
"W. Tavares",20209407,29039,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/70/50/0000507050_03.jpg",1693573200
"J. Okafor",30002706,28859,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/47/12/0000504712_03.jpg",1693573200
"M. González",20212476,28862,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/48/31/0000504831_03.jpg",1693573200
"T. Bell-Haynes",30001171,29687,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/13/43/0000511343_03.jpg",1693659600
"E. Sulejmanovic",20210828,28857,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/46/81/0000504681_03.jpg",1693573200
"M. Smith",30002704,28852,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/48/01/0000504801_03.jpg",1693573200
"D. Musa",30001170,29045,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/67/06/0000506706_03.jpg",1693573200
"G. Yabusele",30001112,29043,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/68/47/0000506847_03.jpg",1693573200
"F. Campazzo",20211331,28899,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/31/13/73/0000311373_03.jpg",1693573200
"A. Abalde",20210088,29035,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/66/48/0000506648_03.jpg",1693573200
"M. Hezonja",20210501,29053,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/69/17/0000506917_03.jpg",1693573200
"L. Langarita",20213218,28866,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/47/64/0000504764_03.jpg",1693573200
"S. Rodríguez",20201730,29050,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/70/10/0000507010_03.jpg",1693573200
"D. Kravic",30000039,28850,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/46/62/0000504662_03.jpg",1693573200
"A. Cinciarini",30002815,29690,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/12/98/0000511298_03.jpg",1693659600
"S. Yusta",20210918,28848,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/48/83/0000504883_03.jpg",1693580400
"V. Poirier",20212416,29048,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/70/28/0000507028_03.jpg",1693573200
"T. Gielo",20212214,29689,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/13/21/0000511321_03.jpg",1693659600
"H. González",20213252,29126,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/68/71/0000506871_03.jpg",1693573200
"E. Ndiaye",30001229,29059,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/67/49/0000506749_03.jpg",1693573200
"S. Llull",20201774,29037,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/69/88/0000506988_03.jpg",1693573200
"F. Causeur",20210224,29051,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/67/76/0000506776_03.jpg",1693573200
